ID,upm,factor_sem,region,region.1,entidad,entidad.1,tot_integ,tot.cons,Rate.Type
1,1,373,2,Templada,1,Aguascalientes,1,261,1
2,1,373,2,Templada,1,Aguascalientes,4,150,1
3,1,373,2,Templada,1,Aguascalientes,4,500,1
4,1,373,2,Templada,1,Aguascalientes,1,267,1
5,1,373,2,Templada,1,Aguascalientes,2,420,1
6,2,387,2,Templada,1,Aguascalientes,6,150,1
7,2,387,2,Templada,1,Aguascalientes,2,200,1
10,3,372,2,Templada,1,Aguascalientes,2,230,1
11,3,372,2,Templada,1,Aguascalientes,5,200,1
12,3,372,2,Templada,1,Aguascalientes,2,190,1
13,3,372,2,Templada,1,Aguascalientes,6,300,1
14,3,372,2,Templada,1,Aguascalientes,4,320,1
16,4,318,2,Templada,1,Aguascalientes,1,320,1
17,4,318,2,Templada,1,Aguascalientes,3,49,1
18,4,318,2,Templada,1,Aguascalientes,5,140,1
19,4,318,2,Templada,1,Aguascalientes,4,136,1
20,5,447,2,Templada,1,Aguascalientes,2,120,1
21,5,447,2,Templada,1,Aguascalientes,4,350,1
23,5,447,2,Templada,1,Aguascalientes,3,215,1
24,5,447,2,Templada,1,Aguascalientes,1,142,1
25,6,314,2,Templada,1,Aguascalientes,3,85,1
26,6,314,2,Templada,1,Aguascalientes,2,180,1
27,6,314,2,Templada,1,Aguascalientes,3,495,1
28,6,314,2,Templada,1,Aguascalientes,3,520,1
29,6,314,2,Templada,1,Aguascalientes,3,300,1
30,7,357,2,Templada,1,Aguascalientes,3,250,1
31,7,357,2,Templada,1,Aguascalientes,1,50,1
34,7,357,2,Templada,1,Aguascalientes,5,120,1
36,8,342,2,Templada,1,Aguascalientes,1,163,1
37,8,342,2,Templada,1,Aguascalientes,4,233,1
38,8,342,2,Templada,1,Aguascalientes,2,430,1
40,9,366,2,Templada,1,Aguascalientes,3,164,1
41,9,366,2,Templada,1,Aguascalientes,3,217,1
44,10,366,2,Templada,1,Aguascalientes,3,297,1
45,10,366,2,Templada,1,Aguascalientes,8,370,1
46,10,366,2,Templada,1,Aguascalientes,1,250,1
47,10,366,2,Templada,1,Aguascalientes,2,260,1
48,10,366,2,Templada,1,Aguascalientes,1,113,1
49,11,311,2,Templada,1,Aguascalientes,4,413,1
51,11,311,2,Templada,1,Aguascalientes,5,160,1
52,12,352,2,Templada,1,Aguascalientes,2,480,1
53,12,352,2,Templada,1,Aguascalientes,1,83,1
54,12,352,2,Templada,1,Aguascalientes,4,152,1
55,12,352,2,Templada,1,Aguascalientes,2,106,1
56,12,352,2,Templada,1,Aguascalientes,2,260,1
57,13,401,2,Templada,1,Aguascalientes,1,188,1
59,13,401,2,Templada,1,Aguascalientes,4,93,1
60,13,401,2,Templada,1,Aguascalientes,3,280,1
61,13,401,2,Templada,1,Aguascalientes,4,180,1
64,14,390,2,Templada,1,Aguascalientes,4,275,1
65,14,390,2,Templada,1,Aguascalientes,4,360,1
66,14,390,2,Templada,1,Aguascalientes,4,130,1
68,15,342,2,Templada,1,Aguascalientes,4,300,1
72,16,301,2,Templada,1,Aguascalientes,5,150,1
73,16,301,2,Templada,1,Aguascalientes,4,350,1
74,16,301,2,Templada,1,Aguascalientes,3,150,1
76,16,301,2,Templada,1,Aguascalientes,3,282,1
77,17,390,2,Templada,1,Aguascalientes,3,357,1
78,17,390,2,Templada,1,Aguascalientes,2,400,1
79,17,390,2,Templada,1,Aguascalientes,2,328,1
80,17,390,2,Templada,1,Aguascalientes,3,261,1
81,18,341,2,Templada,1,Aguascalientes,4,235,1
83,18,341,2,Templada,1,Aguascalientes,4,206,1
84,18,341,2,Templada,1,Aguascalientes,2,187,1
85,19,297,2,Templada,1,Aguascalientes,4,310,1
86,19,297,2,Templada,1,Aguascalientes,1,201,1
90,20,265,2,Templada,1,Aguascalientes,1,134,1
91,20,265,2,Templada,1,Aguascalientes,4,198,1
92,20,265,2,Templada,1,Aguascalientes,1,205,1
93,20,265,2,Templada,1,Aguascalientes,6,250,1
94,20,265,2,Templada,1,Aguascalientes,1,240,1
97,21,402,2,Templada,1,Aguascalientes,3,384,1
98,21,402,2,Templada,1,Aguascalientes,4,160,1
100,22,368,2,Templada,1,Aguascalientes,3,300,1
101,22,368,2,Templada,1,Aguascalientes,4,147,1
102,22,368,2,Templada,1,Aguascalientes,2,300,1
103,22,368,2,Templada,1,Aguascalientes,6,400,1
104,22,368,2,Templada,1,Aguascalientes,1,241,1
106,23,350,2,Templada,1,Aguascalientes,2,289,1
107,23,350,2,Templada,1,Aguascalientes,5,265,1
109,24,406,2,Templada,1,Aguascalientes,2,88,1
110,24,406,2,Templada,1,Aguascalientes,3,142,1
112,24,406,2,Templada,1,Aguascalientes,2,262,1
113,24,406,2,Templada,1,Aguascalientes,4,221,1
114,25,381,2,Templada,1,Aguascalientes,2,102,1
115,25,381,2,Templada,1,Aguascalientes,4,231,1
116,25,381,2,Templada,1,Aguascalientes,5,195,1
117,25,381,2,Templada,1,Aguascalientes,2,193,1
118,25,381,2,Templada,1,Aguascalientes,4,370,1
119,26,358,2,Templada,1,Aguascalientes,5,340,1
120,26,358,2,Templada,1,Aguascalientes,6,195,1
122,26,358,2,Templada,1,Aguascalientes,2,135,1
124,27,401,2,Templada,1,Aguascalientes,3,112,1
126,27,401,2,Templada,1,Aguascalientes,2,260,1
127,28,345,2,Templada,1,Aguascalientes,5,180,1
129,28,345,2,Templada,1,Aguascalientes,3,450,1
130,28,345,2,Templada,1,Aguascalientes,3,300,1
131,29,335,2,Templada,1,Aguascalientes,4,250,1
132,29,335,2,Templada,1,Aguascalientes,2,502,1
133,29,335,2,Templada,1,Aguascalientes,6,239,1
134,30,360,2,Templada,1,Aguascalientes,4,120,1
135,30,360,2,Templada,1,Aguascalientes,2,99,1
136,30,360,2,Templada,1,Aguascalientes,2,250,1
138,30,360,2,Templada,1,Aguascalientes,1,504,1
139,31,362,2,Templada,1,Aguascalientes,3,294,1
140,31,362,2,Templada,1,Aguascalientes,4,200,1
141,31,362,2,Templada,1,Aguascalientes,9,250,1
