Location,entidad.1,Cost,energy.conscious,cost.oriented,early.adopter
1,Aguascalientes,25,1,0,0
1,Aguascalientes,25,1,0,0
1,Aguascalientes,50,1,0,0
1,Aguascalientes,50,1,0,0
1,Aguascalientes,50,1,0,0
1,Aguascalientes,58,1,0,0
1,Aguascalientes,65,1,0,0
1,Aguascalientes,67,1,0,0
1,Aguascalientes,72,1,0,0
1,Aguascalientes,72,1,0,0
1,Aguascalientes,83,1,0,0
1,Aguascalientes,90,1,0,0
1,Aguascalientes,100,1,0,0
1,Aguascalientes,102,1,0,0
1,Aguascalientes,102,1,0,0
1,Aguascalientes,102,1,0,0
1,Aguascalientes,110,0,1,0
1,Aguascalientes,113,0,1,0
1,Aguascalientes,120,0,1,0
1,Aguascalientes,120,0,1,0
1,Aguascalientes,120,0,1,0
1,Aguascalientes,123,0,1,0
1,Aguascalientes,125,0,1,0
1,Aguascalientes,126,0,1,0
1,Aguascalientes,130,0,1,0
1,Aguascalientes,134,0,1,0
1,Aguascalientes,135,0,1,0
1,Aguascalientes,142,0,1,0
1,Aguascalientes,143,0,1,0
1,Aguascalientes,149,0,1,0
1,Aguascalientes,150,0,1,0
1,Aguascalientes,150,0,1,0
1,Aguascalientes,153,0,1,0
1,Aguascalientes,155,0,1,0
1,Aguascalientes,163,0,1,0
1,Aguascalientes,167,0,1,0
1,Aguascalientes,175,0,1,0
1,Aguascalientes,188,0,1,0
1,Aguascalientes,190,0,1,0
1,Aguascalientes,197,0,1,0
1,Aguascalientes,198,0,1,0
1,Aguascalientes,200,0,1,0
1,Aguascalientes,200,0,1,0
1,Aguascalientes,200,0,1,0
1,Aguascalientes,200,0,1,0
1,Aguascalientes,201,0,1,0
1,Aguascalientes,205,0,1,0
1,Aguascalientes,223,0,1,0
1,Aguascalientes,229,0,0,1
1,Aguascalientes,232,0,0,1
1,Aguascalientes,240,0,0,1
1,Aguascalientes,241,0,0,1
1,Aguascalientes,247,0,0,1
1,Aguascalientes,250,0,0,1
1,Aguascalientes,250,0,0,1
1,Aguascalientes,261,0,0,1
1,Aguascalientes,267,0,0,1
1,Aguascalientes,280,0,0,1
1,Aguascalientes,286,0,0,1
1,Aguascalientes,300,0,0,1
1,Aguascalientes,300,0,0,1
1,Aguascalientes,300,0,0,1
1,Aguascalientes,320,0,0,1
1,Aguascalientes,504,0,0,1
2,Baja California,120,1,0,0
2,Baja California,128,1,0,0
2,Baja California,130,1,0,0
2,Baja California,150,1,0,0
2,Baja California,152,1,0,0
2,Baja California,168,1,0,0
2,Baja California,170,1,0,0
2,Baja California,190,1,0,0
2,Baja California,200,0,1,0
2,Baja California,200,0,1,0
2,Baja California,200,0,1,0
2,Baja California,200,0,1,0
2,Baja California,230,0,1,0
2,Baja California,250,0,1,0
2,Baja California,250,0,1,0
2,Baja California,264,0,1,0
2,Baja California,270,0,1,0
2,Baja California,280,0,1,0
2,Baja California,300,0,1,0
2,Baja California,300,0,1,0
2,Baja California,301,0,1,0
2,Baja California,350,0,1,0
2,Baja California,390,0,1,0
2,Baja California,400,0,0,1
2,Baja California,400,0,0,1
2,Baja California,400,0,0,1
2,Baja California,500,0,0,1
2,Baja California,550,0,0,1
2,Baja California,550,0,0,1
2,Baja California,569,0,0,1
2,Baja California,600,0,0,1
2,Baja California,600,0,0,1
3,Baja California Sur,43,1,0,0
3,Baja California Sur,46,1,0,0
3,Baja California Sur,46,1,0,0
3,Baja California Sur,46,1,0,0
3,Baja California Sur,50,1,0,0
3,Baja California Sur,60,1,0,0
3,Baja California Sur,70,1,0,0
3,Baja California Sur,75,1,0,0
3,Baja California Sur,97,1,0,0
3,Baja California Sur,100,1,0,0
3,Baja California Sur,100,1,0,0
3,Baja California Sur,100,1,0,0
3,Baja California Sur,100,1,0,0
3,Baja California Sur,130,1,0,0
3,Baja California Sur,140,1,0,0
3,Baja California Sur,145,1,0,0
3,Baja California Sur,150,1,0,0
3,Baja California Sur,150,1,0,0
3,Baja California Sur,150,1,0,0
3,Baja California Sur,150,1,0,0
3,Baja California Sur,160,0,1,0
3,Baja California Sur,160,0,1,0
3,Baja California Sur,160,0,1,0
