Location,Range,Personality
1,0.9,1. Openness
1,0.58,1. Openness
1,0.92,1. Openness
1,0.74,1. Openness
1,0.74,1. Openness
1,0.74,1. Openness
1,0.78,1. Openness
1,0.74,1. Openness
1,0.74,1. Openness
1,0.82,1. Openness
1,0.82,1. Openness
1,0.64,1. Openness
1,0.86,1. Openness
1,0.86,1. Openness
1,0.86,1. Openness
1,0.74,1. Openness
1,0.88,1. Openness
1,0.9,1. Openness
1,0.78,1. Openness
1,0.9,1. Openness
1,0.74,1. Openness
1,0.74,1. Openness
1,0.72,1. Openness
1,0.94,1. Openness
1,0.9,1. Openness
1,0.86,1. Openness
1,0.5,1. Openness
1,0.76,1. Openness
1,0.86,1. Openness
1,0.82,1. Openness
1,0.74,1. Openness
1,0.78,1. Openness
1,0.76,1. Openness
1,0.84,1. Openness
1,0.86,1. Openness
1,0.7,1. Openness
1,0.66,1. Openness
1,0.74,1. Openness
2,0.78,1. Openness
2,0.68,1. Openness
2,0.92,1. Openness
2,0.96,1. Openness
2,0.68,1. Openness
2,0.76,1. Openness
2,0.98,1. Openness
2,0.96,1. Openness
2,0.72,1. Openness
2,0.62,1. Openness
2,0.88,1. Openness
2,0.9,1. Openness
2,0.9,1. Openness
2,0.7,1. Openness
2,0.84,1. Openness
2,0.72,1. Openness
2,0.86,1. Openness
2,0.58,1. Openness
2,0.8,1. Openness
2,0.72,1. Openness
2,0.84,1. Openness
2,0.94,1. Openness
2,0.78,1. Openness
2,0.74,1. Openness
2,0.76,1. Openness
2,0.82,1. Openness
2,0.76,1. Openness
2,0.96,1. Openness
2,0.8,1. Openness
2,0.62,1. Openness
2,0.66,1. Openness
2,0.72,1. Openness
2,0.86,1. Openness
2,1,1. Openness
2,0.96,1. Openness
2,0.92,1. Openness
2,0.88,1. Openness
2,0.84,1. Openness
2,0.9,1. Openness
2,0.72,1. Openness
2,0.72,1. Openness
2,0.86,1. Openness
2,0.78,1. Openness
2,0.58,1. Openness
2,0.7,1. Openness
2,0.74,1. Openness
2,0.78,1. Openness
2,0.74,1. Openness
2,0.78,1. Openness
2,0.72,1. Openness
2,0.94,1. Openness
2,0.88,1. Openness
2,0.88,1. Openness
2,0.94,1. Openness
2,0.92,1. Openness
2,0.8,1. Openness
2,0.76,1. Openness
2,0.82,1. Openness
2,0.9,1. Openness
2,0.72,1. Openness
2,0.94,1. Openness
2,0.74,1. Openness
2,0.72,1. Openness
2,0.8,1. Openness
2,0.9,1. Openness
2,0.82,1. Openness
2,0.64,1. Openness
2,0.96,1. Openness
2,1,1. Openness
2,0.5,1. Openness
2,0.98,1. Openness
2,0.86,1. Openness
2,0.76,1. Openness
2,0.8,1. Openness
2,0.84,1. Openness
2,0.96,1. Openness
2,0.76,1. Openness
2,0.68,1. Openness
2,0.78,1. Openness
2,0.74,1. Openness
2,0.76,1. Openness
2,0.78,1. Openness
2,0.7,1. Openness
2,0.88,1. Openness
2,0.94,1. Openness
2,0.76,1. Openness
2,0.94,1. Openness
2,0.68,1. Openness
2,0.68,1. Openness
2,0.82,1. Openness
2,0.84,1. Openness
2,0.98,1. Openness
2,0.74,1. Openness
2,0.82,1. Openness
2,0.88,1. Openness
2,0.94,1. Openness
2,0.92,1. Openness
2,0.54,1. Openness
2,0.8,1. Openness
2,0.94,1. Openness
2,0.56,1. Openness
2,0.82,1. Openness
2,0.8,1. Openness
2,0.96,1. Openness
2,0.9,1. Openness
2,0.9,1. Openness
2,0.86,1. Openness
2,1,1. Openness
2,0.82,1. Openness
2,0.66,1. Openness
2,0.8,1. Openness
2,0.9,1. Openness
2,0.78,1. Openness
2,0.94,1. Openness
2,0.82,1. Openness
2,0.8,1. Openness
2,0.82,1. Openness
2,0.66,1. Openness
2,0.88,1. Openness
2,0.96,1. Openness
2,0.94,1. Openness
2,0.92,1. Openness
2,0.7,1. Openness
2,0.62,1. Openness
2,0.72,1. Openness
2,0.88,1. Openness
2,0.82,1. Openness
2,0.82,1. Openness
2,0.84,1. Openness
