ID,latitude,longitude,State,Median.electricity.bill.by.State,Habitual.electricity.bill.by.State,O,C,E,A,N,Exploratory.Tasks,Challenges,Social.Competition,Social.Network,Unlockable.Content
1,19.3,-99.25, Ciudad de Mexico,150,92.5-215 $ MXN,0.92,0.68,0.56,0.9,0.3,Yes,No,No,Yes,No
2,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.82,0.84,0.68,0.84,0.7,Yes,Yes,No,Yes,Yes
3,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.84,0.72,0.76,0.94,0.56,Yes,Yes,Yes,Yes,No
4,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.8,0.46,0.94,0.72,0.36,Yes,No,Yes,Yes,No
5,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.54,0.44,0.2,0.68,1,No,No,No,No,Yes
6,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.82,0.28,0.56,0.88,Yes,Yes,No,No,Yes
7,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.72,0.72,0.38,0.86,0.7,Yes,Yes,No,Yes,Yes
8,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.52,0.34,0.42,0.74,Yes,No,No,No,Yes
9,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,1,0.64,0.84,0.44,0.38,Yes,No,Yes,No,No
10,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.78,0.64,0.72,0.72,0.56,Yes,No,Yes,Yes,No
11,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.96,0.52,0.8,0.86,0.86,Yes,No,Yes,Yes,Yes
12,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.62,0.8,0.5,0.72,0.82,No,Yes,No,Yes,Yes
13,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,1,0.66,0.94,0.92,0.44,Yes,No,Yes,Yes,No
14,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.76,0.64,0.26,0.58,0.72,Yes,No,No,No,Yes
15,20.6,-100.38, Queretaro,180,110-260 $ MXN,0.92,0.76,0.86,0.98,0.58,Yes,Yes,Yes,Yes,No
16,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.94,0.46,0.64,0.6,0.84,Yes,No,No,No,Yes
17,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.32,0.64,0.32,0.88,0.8,No,No,No,Yes,Yes
18,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.9,0.76,0.5,0.4,0.38,Yes,Yes,No,No,No
19,25.67,-100.4, Nuevo Leon,284,150-323 $ MXN,0.94,0.64,0.76,0.96,0.58,Yes,No,Yes,Yes,No
20,20.6,-89.21, Yucatan,233,129.5-491.25 $ MXN,0.94,0.44,0.62,0.66,0.7,Yes,No,No,No,Yes
21,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.58,0.78,0.56,0.78,0.58,No,Yes,No,Yes,No
22,28.42,-106.87, Chihuahua,215,159-331.5 $ MXN,0.92,0.32,0.48,0.74,0.42,Yes,No,No,Yes,No
23,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.8,0.56,0.56,0.74,0.78,Yes,No,No,Yes,Yes
24,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.74,0.22,0.68,0.86,Yes,Yes,No,No,Yes
25,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.86,0.5,0.38,0.62,0.42,Yes,No,No,No,No
26,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.8,0.56,0.56,0.8,0.52,Yes,No,No,Yes,No
28,20.62,-87.07, Quintana Roo,210,146-300 $ MXN,0.88,0.64,0.4,0.9,0.66,Yes,No,No,Yes,No
29,25.67,-100.32, Nuevo Leon,284,150-323 $ MXN,0.76,0.82,0.64,0.72,0.56,Yes,Yes,No,Yes,No
30,19.43,-99.13, Ciudad de Mexico,150,92.5-215 $ MXN,0.82,0.52,0.72,0.54,0.64,Yes,No,Yes,No,No
31,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.84,0.96,0.82,0.76,0.28,Yes,Yes,Yes,Yes,No
32,25.67,-100.4, Nuevo Leon,284,150-323 $ MXN,0.68,0.62,0.76,0.68,0.46,No,No,Yes,No,No
33,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.68,0.76,0.64,0.92,0.58,No,Yes,No,Yes,No
34,19.43,-99.14, Ciudad de Mexico,150,92.5-215 $ MXN,0.66,0.78,0.86,0.94,0.52,No,Yes,Yes,Yes,No
